sample_id,model_1,model_2,model_3,mean,std
sample_28675,8.5816,9.2409,8.8868,8.9031,0.33
sample_28676,7.8084,8.3271,7.753,7.9628,0.3167
sample_28677,8.9184,9.5987,9.1675,9.2282,0.3442
sample_28678,8.717,9.205,8.6546,8.8589,0.3014
sample_28679,8.858,9.1402,8.7924,8.9302,0.1848
sample_28680,8.2266,8.6518,8.1237,8.334,0.2799
sample_28681,8.3603,8.8934,8.3976,8.5504,0.2976
sample_28682,8.8363,9.4906,8.9687,9.0985,0.3459
sample_28683,9.5698,9.85,9.5022,9.6407,0.1844
sample_28684,9.1676,9.7122,9.3397,9.4065,0.2784
sample_28685,8.4959,8.5813,8.2522,8.4431,0.1708
sample_28686,8.3505,8.6575,8.3939,8.4673,0.1661
sample_28687,7.8077,8.2851,7.8506,7.9812,0.2641
sample_28688,9.1211,9.3319,9.0457,9.1662,0.1484
sample_28689,8.7005,8.8288,8.6103,8.7132,0.1098
sample_28690,8.8473,9.2246,8.6712,8.9144,0.2828
sample_28691,8.447,8.7358,8.4313,8.538,0.1714
sample_28692,9.1322,9.2558,8.9201,9.1027,0.1698
sample_28693,9.2054,9.7191,9.2892,9.4046,0.2756
sample_28694,8.6689,9.0356,8.7876,8.8307,0.1871
sample_28695,8.4296,8.9609,8.6736,8.688,0.2659
sample_28696,8.1759,8.6638,8.173,8.3376,0.2825
sample_28697,7.6758,8.0474,7.674,7.7991,0.2151
sample_28698,9.085,9.1271,8.7692,8.9938,0.1956
sample_28699,8.6041,8.9011,8.5551,8.6868,0.1872
sample_28700,8.7364,9.1132,8.6556,8.8351,0.2442
sample_28701,8.6931,8.8561,8.5404,8.6966,0.1579
sample_28702,8.607,9.1035,8.7091,8.8066,0.2622
sample_28703,7.9708,8.3918,8.1445,8.1691,0.2116
sample_28704,7.7632,8.1657,7.5528,7.8272,0.3114
sample_28705,8.5801,8.7232,8.3586,8.554,0.1837
sample_28706,8.6591,9.0744,8.6644,8.7993,0.2382
sample_28707,8.9005,9.7353,9.0354,9.2238,0.4481
sample_28708,8.9705,9.4281,9.0073,9.1353,0.2542
sample_28709,8.0553,8.3766,8.0596,8.1638,0.1843
sample_28710,9.1443,9.7945,9.2713,9.4034,0.3446
sample_28711,8.2999,8.7219,8.4523,8.4914,0.2137
sample_28712,7.5576,8.0468,7.6841,7.7628,0.2539
sample_28713,7.934,8.0561,7.8392,7.9431,0.1087
sample_28714,8.3619,8.7973,8.5155,8.5582,0.2208
sample_28715,7.3601,8.2846,7.5975,7.7474,0.4801
sample_28716,8.6793,9.1262,8.873,8.8928,0.2241
sample_28717,8.3622,8.7579,8.3158,8.4786,0.243
sample_28718,9.007,9.3443,8.9632,9.1048,0.2085
sample_28719,8.3698,8.6855,8.4018,8.4857,0.1737
sample_28720,8.9365,9.423,9.0627,9.1407,0.2525
sample_28721,8.7777,9.192,8.9074,8.959,0.2119
sample_28722,7.7709,8.2502,7.6579,7.893,0.3145
sample_28723,8.5214,8.7249,8.415,8.5538,0.1575
sample_28724,7.7672,8.2281,7.7183,7.9045,0.2812
sample_28725,7.8991,8.563,8.0308,8.1643,0.3515
sample_28726,8.547,8.8546,8.5489,8.6502,0.1771
sample_28727,8.4485,9.0531,8.4556,8.6524,0.347
sample_28728,8.4175,8.8023,8.228,8.4826,0.2926
sample_28729,9.3147,9.4793,9.1525,9.3155,0.1634
sample_28730,8.7107,8.9194,8.5271,8.7191,0.1963
sample_28731,8.7797,9.2877,8.7759,8.9477,0.2944
sample_28732,9.1855,9.8304,9.4558,9.4906,0.3238
sample_28733,7.5986,8.0043,7.6053,7.7361,0.2323
sample_28734,8.2505,8.4798,8.1405,8.2903,0.1731
sample_28735,8.8304,8.9075,8.5429,8.7603,0.1922
sample_28736,8.4683,8.6887,8.4149,8.524,0.1451
sample_28737,8.6994,9.0202,8.8096,8.8431,0.163
sample_28738,8.2632,8.4181,8.1619,8.281,0.129
sample_28739,8.6952,9.2443,8.8567,8.9321,0.2822
sample_28740,7.3828,8.1249,7.4407,7.6495,0.4127
sample_28741,8.5265,9.0805,8.4712,8.6928,0.3369
sample_28742,7.6076,7.9426,7.5334,7.6945,0.218
sample_28743,8.5326,8.7686,8.3907,8.564,0.1909
sample_28744,9.2283,9.8782,9.3032,9.4699,0.3556
sample_28745,8.5109,8.8191,8.5735,8.6345,0.1629
sample_28746,8.6781,8.9433,8.6325,8.7513,0.1678
sample_28747,8.3442,8.8108,8.5389,8.5646,0.2344
sample_28748,8.0138,8.5131,7.9902,8.1724,0.2953
sample_28749,8.5469,8.7549,8.3577,8.5532,0.1987
sample_28750,8.167,8.5623,8.0964,8.2752,0.2511
sample_28751,8.3578,8.9938,8.5316,8.6277,0.3287
sample_28752,9.1728,9.7482,9.1248,9.3486,0.3469
sample_28753,7.343,8.2036,7.4687,7.6718,0.4648
sample_28754,8.4894,8.5777,8.2795,8.4489,0.1532
sample_28755,8.5053,8.7907,8.4434,8.5798,0.1852
sample_28756,8.5146,8.7545,8.4102,8.5598,0.1765
sample_28757,8.9054,9.5128,9.071,9.1631,0.314
sample_28758,8.2328,8.6786,8.2045,8.372,0.2659
sample_28759,8.5072,8.8673,8.5043,8.6263,0.2087
sample_28760,8.9934,9.6615,9.2638,9.3062,0.3361
sample_28761,9.427,9.9392,9.4814,9.6159,0.2813
sample_28762,9.0015,9.511,9.024,9.1788,0.2879
sample_28763,9.1327,9.6659,9.252,9.3502,0.2798
sample_28764,9.2546,9.7497,9.3595,9.4546,0.2609
sample_28765,8.4075,8.912,8.4264,8.582,0.286
sample_28766,8.4898,8.8795,8.4762,8.6152,0.229
sample_28767,7.998,8.6139,7.9981,8.2033,0.3556
sample_28768,8.3313,8.505,8.1236,8.3199,0.1909
sample_28769,7.8798,8.4264,7.9238,8.0767,0.3036
sample_28770,8.2178,8.6103,8.1352,8.3211,0.2538
sample_28771,8.0079,8.3633,8.0593,8.1435,0.1921
sample_28772,8.6932,8.7624,8.3539,8.6032,0.2186
sample_28773,9.4035,9.7481,9.2879,9.4798,0.2394
sample_28774,8.5577,8.625,8.3405,8.5077,0.1487
sample_28775,8.3972,8.7463,8.3875,8.5103,0.2044
sample_28776,8.0839,8.2388,7.8818,8.0681,0.179
sample_28777,8.0335,8.4996,7.9585,8.1639,0.2931
sample_28778,8.3945,8.6729,8.4222,8.4965,0.1533
sample_28779,9.4427,9.9269,9.6116,9.6604,0.2457
sample_28780,9.0466,9.4597,9.0879,9.1981,0.2275
sample_28781,8.3777,8.8141,8.4584,8.5501,0.2322
sample_28782,7.8847,8.5503,7.8919,8.1089,0.3822
sample_28783,8.6246,9.0536,8.6327,8.7703,0.2454
sample_28784,9.0733,9.6856,9.17,9.3096,0.3291
sample_28785,8.7536,8.9409,8.5242,8.7396,0.2087
sample_28786,8.7504,8.929,8.6753,8.7849,0.1303
sample_28787,8.9129,9.6066,9.0785,9.1993,0.3623
sample_28788,8.1091,8.6553,8.1302,8.2982,0.3094
sample_28789,9.4033,9.8636,9.306,9.5243,0.2978
sample_28790,8.0052,8.6364,8.2186,8.2868,0.3211
sample_28791,9.2979,9.6942,9.3631,9.4518,0.2125
sample_28792,8.2404,8.5558,8.193,8.3297,0.1972
sample_28793,9.5645,9.9315,9.4902,9.6621,0.2362
sample_28794,8.5549,8.9077,8.6712,8.7113,0.1798
sample_28795,7.8669,8.4038,7.8255,8.0321,0.3226
sample_28796,8.2761,8.6504,8.2362,8.3875,0.2285
sample_28797,8.8318,9.5386,9.0332,9.1345,0.3641
sample_28798,8.3746,8.4465,8.104,8.3084,0.1806
sample_28799,8.9852,9.6098,9.1137,9.2362,0.3298
sample_28800,9.1669,9.203,8.9575,9.1091,0.1325
sample_28801,8.2643,8.7185,8.1906,8.3911,0.2859
sample_28802,9.035,9.5246,9.1416,9.2337,0.2575
sample_28803,8.976,9.538,9.0025,9.1721,0.3171
sample_28804,7.5653,8.293,7.7743,7.8775,0.3747
sample_28805,8.3189,8.8622,8.468,8.5497,0.2807
sample_28806,8.4956,8.8018,8.47,8.5891,0.1846
sample_28807,8.785,9.1362,8.6572,8.8595,0.248
sample_28808,8.3808,8.7136,8.2401,8.4448,0.2432
sample_28809,7.9617,8.4793,8.1467,8.1959,0.2623
sample_28810,9.1307,9.6559,9.295,9.3605,0.2687
sample_28811,9.1088,9.0913,8.8191,9.0064,0.1625
sample_28812,8.2721,8.6896,8.2465,8.4027,0.2488
sample_28813,8.1955,8.7604,8.2643,8.4067,0.3082
sample_28814,8.1029,8.5261,8.0494,8.2261,0.2612
sample_28815,8.0784,8.6038,8.0971,8.2598,0.2981
sample_28816,8.7327,9.231,8.8212,8.9283,0.2659
sample_28817,8.7725,8.7099,8.4175,8.6333,0.1895
sample_28818,7.6859,8.3378,7.7184,7.914,0.3673
sample_28819,9.0791,9.2427,8.9343,9.0853,0.1543
sample_28820,9.4785,9.85,9.4677,9.5987,0.2177
sample_28821,8.1077,8.6122,8.0875,8.2692,0.2973
sample_28822,8.9566,9.3344,9.0192,9.1034,0.2025
sample_28823,9.2314,9.695,9.138,9.3548,0.2983
sample_28824,8.2071,8.6381,8.2655,8.3702,0.2338
sample_28825,9.2303,9.4907,9.1918,9.3043,0.1626
sample_28826,7.6552,8.3141,7.8105,7.9266,0.3444
sample_28827,9.3434,9.8622,9.6044,9.6033,0.2594
sample_28828,7.5349,8.1388,7.673,7.7822,0.3164
sample_28829,9.1236,9.2609,8.8966,9.0937,0.184
sample_28830,8.3351,8.7438,8.3848,8.4879,0.223
sample_28831,9.1518,9.6997,9.3445,9.3986,0.2779
sample_28832,8.4453,8.5986,8.2796,8.4412,0.1595
sample_28833,8.4414,8.8708,8.3425,8.5516,0.2808
sample_28834,7.5124,8.0776,7.637,7.7423,0.2969
sample_28835,8.1926,8.3592,8.0113,8.1877,0.174
sample_28836,7.7736,8.7452,8.0083,8.1757,0.507
sample_28837,7.8474,8.3037,7.7887,7.98,0.2819
sample_28838,8.0892,8.5608,8.0272,8.2257,0.2918
sample_28839,9.2948,9.7786,9.4006,9.4913,0.2543
sample_28840,7.8373,8.1488,7.9175,7.9679,0.1617
sample_28841,9.3849,9.8511,9.4784,9.5715,0.2466
sample_28842,9.5696,9.9827,9.5647,9.7057,0.24
sample_28843,8.131,8.4863,8.2666,8.2946,0.1793
sample_28844,8.2364,8.581,8.1613,8.3262,0.2238
sample_28845,9.1918,9.6596,9.1125,9.3213,0.2957
sample_28846,8.6417,9.3614,8.9153,8.9728,0.3633
sample_28847,9.0235,9.5031,9.1307,9.2191,0.2517
sample_28848,8.6888,8.7315,8.3949,8.6051,0.1833
sample_28849,9.171,9.564,9.2112,9.3154,0.2163
sample_28850,9.2564,9.837,9.3287,9.474,0.3164
sample_28851,8.4764,8.8858,8.3615,8.5746,0.2756
sample_28852,8.9939,9.5455,9.1248,9.2214,0.2882
sample_28853,8.8342,9.3702,8.9969,9.0671,0.2748
sample_28854,8.2447,8.6351,8.3281,8.4026,0.2056
sample_28855,9.1347,9.6784,9.1304,9.3145,0.3152
sample_28856,8.8307,8.97,8.5782,8.793,0.1986
sample_28857,8.6854,9.3131,8.8018,8.9334,0.3339
sample_28858,8.3337,8.7062,8.2162,8.4187,0.2558
sample_28859,9.0374,9.4606,9.1513,9.2164,0.219
sample_28860,9.2679,9.7955,9.3147,9.4594,0.292
sample_28861,8.4127,8.8282,8.4029,8.5479,0.2428
sample_28862,8.0251,8.5368,8.0284,8.1968,0.2945
sample_28863,9.2049,9.7835,9.2109,9.3997,0.3323
sample_28864,7.8262,8.3438,7.9102,8.0268,0.2778
sample_28865,8.2955,8.6376,8.264,8.399,0.2072
sample_28866,8.7749,9.2937,8.8485,8.9724,0.2807
sample_28867,7.5797,8.0705,7.6106,7.7536,0.2749
sample_28868,8.2901,9.0457,8.3934,8.5764,0.4097
sample_28869,8.8034,9.4413,8.9389,9.0612,0.3361
sample_28870,9.1207,9.5541,9.2813,9.3187,0.2191
sample_28871,8.8404,9.5016,9.2766,9.2062,0.3362
sample_28872,7.5478,8.3202,7.7917,7.8865,0.3949
sample_28873,7.871,8.4614,7.6619,7.9981,0.4146
sample_28874,8.3157,8.7737,8.3574,8.4823,0.2532
sample_28875,8.3378,8.3961,8.0507,8.2616,0.1849
sample_28876,8.2603,8.8433,8.1262,8.4099,0.3812
sample_28877,9.3086,9.7895,9.42,9.506,0.2517
sample_28878,8.023,8.1969,7.7435,7.9878,0.2287
sample_28879,7.6596,8.3142,7.7086,7.8941,0.3646
sample_28880,8.2876,8.7566,8.2581,8.4341,0.2797
sample_28881,8.4604,8.5751,8.2273,8.4209,0.1773
sample_28882,8.1791,8.403,8.0591,8.2138,0.1745
sample_28883,7.8848,8.4692,7.9985,8.1175,0.3099
sample_28884,9.3762,9.9796,9.4993,9.6184,0.3188
sample_28885,8.5766,8.9519,8.4709,8.6665,0.2528
sample_28886,9.0832,9.4915,9.1851,9.2533,0.2125
sample_28887,8.5458,8.8911,8.5866,8.6745,0.1887
sample_28888,8.7635,8.8206,8.5733,8.7191,0.1294
sample_28889,9.3999,9.6339,9.3263,9.4534,0.1606
sample_28890,8.8942,9.4527,8.939,9.0953,0.3103
sample_28891,8.4351,8.9914,8.4744,8.6336,0.3104
sample_28892,8.1915,8.6729,8.216,8.3601,0.2712
sample_28893,8.9499,9.6201,9.1083,9.2261,0.3503
sample_28894,8.9222,9.4235,9.1289,9.1582,0.2519
sample_28895,8.9872,9.0967,8.7292,8.9377,0.1887
sample_28896,9.4953,10.0157,9.5139,9.675,0.2952
sample_28897,8.6069,9.0677,8.5648,8.7465,0.279
sample_28898,8.8464,9.1995,8.7964,8.9474,0.2197
sample_28899,8.9067,9.0988,8.8423,8.9493,0.1334
sample_28900,9.2124,9.7092,9.1987,9.3735,0.2908
sample_28901,9.5424,9.9821,9.6646,9.7297,0.227
sample_28902,8.9134,9.6772,9.2309,9.2739,0.3837
sample_28903,9.1755,9.5169,9.1872,9.2932,0.1938
sample_28904,8.4727,8.9826,8.5275,8.6609,0.2799
sample_28905,9.1588,9.7249,9.2615,9.3817,0.3016
sample_28906,8.1239,8.5257,8.2088,8.2861,0.2118
sample_28907,7.3907,7.9419,7.5247,7.6191,0.2875
sample_28908,9.4566,9.8501,9.4698,9.5922,0.2235
sample_28909,7.795,8.3007,7.8801,7.9919,0.2708
sample_28910,8.5638,8.8212,8.6573,8.6808,0.1303
sample_28911,9.1239,9.5718,9.1101,9.2686,0.2627
sample_28912,8.4494,8.5579,8.2252,8.4108,0.1697
sample_28913,8.5059,8.862,8.4948,8.6209,0.2089
sample_28914,9.3082,9.7059,9.3521,9.4554,0.218
sample_28915,9.3252,9.7388,9.3335,9.4658,0.2364
sample_28916,7.5553,8.0408,7.612,7.736,0.2655
sample_28917,9.5321,10.035,9.7417,9.7696,0.2526
sample_28918,9.3616,9.8386,9.4668,9.5557,0.2506
sample_28919,7.9565,8.3664,8.0717,8.1315,0.2114
sample_28920,9.0013,9.5441,9.1185,9.2213,0.2856
sample_28921,8.0458,8.4506,7.9756,8.1573,0.2564
sample_28922,8.4918,8.9257,8.5265,8.648,0.2411
sample_28923,8.021,8.5264,8.2237,8.2571,0.2543
sample_28924,8.9314,8.9438,8.6712,8.8488,0.154
sample_28925,7.9965,8.3275,7.8428,8.0556,0.2477
sample_28926,7.6101,8.1331,7.7373,7.8268,0.2727
sample_28927,9.6311,10.0043,9.6529,9.7628,0.2095
sample_28928,8.5872,9.0293,8.5492,8.7219,0.2669
sample_28929,8.2447,8.6129,8.1892,8.349,0.2303
sample_28930,8.786,9.2278,8.8904,8.9681,0.2309
sample_28931,7.5441,8.365,7.7466,7.8852,0.4277
sample_28932,9.0866,9.2888,9.0244,9.1333,0.1383
sample_28933,9.127,9.8074,9.3554,9.4299,0.3462
sample_28934,8.7829,9.0751,8.6865,8.8482,0.2024
sample_28935,7.8632,8.1855,7.8205,7.9564,0.1995
sample_28936,9.0771,9.6268,9.2392,9.3144,0.2824
sample_28937,8.2995,8.7218,8.203,8.4081,0.2759
sample_28938,8.5452,8.9167,8.3571,8.6064,0.2847
sample_28939,7.6315,8.2148,7.7528,7.8664,0.3078
sample_28940,7.6346,8.2235,7.7677,7.8753,0.3088
sample_28941,8.0814,8.4801,7.9777,8.1798,0.2652
sample_28942,7.991,8.4009,7.9941,8.1287,0.2358
sample_28943,7.745,8.2514,7.8459,7.9474,0.2681
sample_28944,8.9828,9.4801,9.0761,9.1797,0.2643
sample_28945,7.69,8.2074,7.6883,7.8619,0.2992
sample_28946,8.1195,8.4476,7.999,8.1887,0.2321
sample_28947,7.9851,8.4783,7.9195,8.1276,0.3054
sample_28948,8.7964,9.4084,9.0312,9.0787,0.3087
sample_28949,8.8861,9.4934,9.0037,9.1277,0.3221
sample_28950,9.1364,9.6274,9.2625,9.3421,0.255
sample_28951,8.5716,8.705,8.3815,8.5527,0.1626
sample_28952,7.5416,8.0961,7.547,7.7282,0.3186
sample_28953,9.47,9.9027,9.5304,9.6343,0.2344
sample_28954,8.6528,8.8186,8.4621,8.6445,0.1784
sample_28955,9.568,10.0501,9.6775,9.7652,0.2528
sample_28956,8.4007,8.6272,8.2655,8.4311,0.1827
sample_28957,8.0013,8.4185,7.9651,8.1283,0.252
sample_28958,8.8791,9.3629,8.991,9.0777,0.2533
sample_28959,8.8763,9.5641,8.9386,9.1263,0.3804
sample_28960,7.7339,8.2164,7.7262,7.8922,0.2808
sample_28961,7.8923,8.6317,8.0188,8.1809,0.3955
sample_28962,9.5557,9.9762,9.5902,9.7074,0.2334
sample_28963,8.6384,8.7282,8.4116,8.5927,0.1631
sample_28964,8.4719,8.7028,8.2978,8.4908,0.2032
sample_28965,8.6834,8.6861,8.5022,8.6239,0.1054
sample_28966,7.6643,7.9339,7.5796,7.7259,0.185
sample_28967,9.038,9.6557,9.3596,9.3511,0.3089
sample_28968,9.5892,9.9394,9.4988,9.6758,0.2327
sample_28969,8.8883,9.0795,8.7023,8.89,0.1886
sample_28970,8.2083,8.7626,8.2308,8.4006,0.3138
sample_28971,8.5731,8.9022,8.5004,8.6586,0.2141
sample_28972,9.4642,9.8546,9.4935,9.6041,0.2174
sample_28973,6.8228,7.5224,6.7497,7.0316,0.4266
sample_28974,7.9608,8.3974,7.8172,8.0585,0.3022
sample_28975,7.314,8.0266,7.4147,7.5851,0.3857
sample_28976,8.3736,8.4757,8.2592,8.3695,0.1083
sample_28977,8.5813,9.0626,8.5208,8.7216,0.2969
sample_28978,8.9077,9.4573,9.0106,9.1252,0.2922
sample_28979,8.0053,8.6256,8.0703,8.2337,0.3409
sample_28980,7.818,8.3709,7.9646,8.0512,0.2864
sample_28981,8.8804,9.1871,8.842,8.9698,0.1891
sample_28982,9.3954,9.9544,9.4062,9.5853,0.3197
sample_28983,9.5315,9.9129,9.5182,9.6542,0.2242
sample_28984,8.2459,8.4943,8.2236,8.3213,0.1503
sample_28985,8.9765,9.4466,9.1008,9.1746,0.2436
sample_28986,8.0666,8.5679,7.9764,8.2036,0.3187
sample_28987,8.3698,8.7488,8.4195,8.5127,0.206
sample_28988,9.2752,9.8002,9.1853,9.4202,0.3321
sample_28989,8.2018,8.6717,8.2557,8.3764,0.2572
sample_28990,8.7898,9.3148,8.8715,8.9921,0.2825
sample_28991,8.4979,8.5023,8.1778,8.3927,0.1861
sample_28992,8.0527,8.3227,7.9481,8.1079,0.1933
sample_28993,9.0159,9.4081,9.0505,9.1581,0.2172
sample_28994,7.8066,8.2258,7.7179,7.9168,0.2713
sample_28995,8.8315,8.9924,8.5684,8.7974,0.214
sample_28996,8.4632,9.0878,8.6961,8.749,0.3156
sample_28997,9.3806,9.7818,9.3548,9.5057,0.2394
sample_28998,8.2219,8.6136,8.1662,8.3339,0.2438
sample_28999,8.1084,8.8091,8.2356,8.3844,0.3733
sample_29000,9.3463,9.7485,9.3485,9.4811,0.2316
sample_29001,9.165,9.5587,9.3272,9.3503,0.1979
sample_29002,8.2888,8.6977,8.3769,8.4545,0.2152
sample_29003,8.271,8.8678,8.3217,8.4868,0.3309
sample_29004,9.2127,9.6797,9.1894,9.3606,0.2766
sample_29005,8.0095,8.3377,7.9799,8.109,0.1986
sample_29006,9.0704,9.3035,8.9631,9.1123,0.174
sample_29007,7.9631,8.3992,7.9423,8.1015,0.258
sample_29008,8.3547,8.8197,8.3281,8.5008,0.2765
sample_29009,9.2773,9.9103,9.5731,9.5869,0.3167
sample_29010,9.4944,9.8986,9.4892,9.6274,0.2349
sample_29011,9.034,9.5271,9.1436,9.2349,0.2589
sample_29012,9.2106,9.5846,9.1569,9.3174,0.233
sample_29013,9.0207,9.6116,9.1306,9.2543,0.3143
sample_29014,9.4071,9.8975,9.4379,9.5808,0.2747
sample_29015,7.7429,8.2363,7.8279,7.9357,0.2638
sample_29016,8.2144,8.6119,8.3352,8.3872,0.2038
sample_29017,7.8421,8.332,7.8256,7.9999,0.2877
sample_29018,7.9594,8.3264,7.9266,8.0708,0.222
sample_29019,8.2415,8.7143,8.2114,8.3891,0.282
sample_29020,9.2475,9.6762,9.3628,9.4288,0.2218
sample_29021,8.4849,8.4743,8.1769,8.3787,0.1748
sample_29022,8.6416,9.0377,8.4603,8.7132,0.2953
sample_29023,9.2665,9.7344,9.3467,9.4492,0.2502
sample_29024,8.7037,9.4177,8.9331,9.0182,0.3645
sample_29025,8.9324,9.254,8.6991,8.9619,0.2786
sample_29026,8.7997,9.3389,9.0224,9.0537,0.271
sample_29027,7.9012,8.4452,8.0448,8.1304,0.2819
sample_29028,8.3417,8.9462,8.7052,8.6644,0.3043
sample_29029,8.5852,8.8997,8.5671,8.684,0.1871
sample_29030,9.111,9.5456,9.1356,9.264,0.2441
sample_29031,7.8951,8.5603,7.9351,8.1302,0.373
sample_29032,8.8299,8.8976,8.5608,8.7628,0.1782
sample_29033,8.164,8.5438,8.2392,8.3157,0.2011
sample_29034,7.899,8.4087,7.9516,8.0865,0.2803
sample_29035,9.3187,9.4685,9.1045,9.2972,0.1829
sample_29036,7.9248,8.4649,7.9195,8.1031,0.3133
sample_29037,7.7069,8.2633,7.7521,7.9074,0.309
sample_29038,8.2057,8.9766,8.2966,8.493,0.4213
sample_29039,8.2472,8.8119,8.302,8.4537,0.3114
sample_29040,7.8856,8.3087,7.8155,8.0033,0.2668
sample_29041,7.6102,8.2917,7.7251,7.8757,0.3648
sample_29042,8.4748,8.9186,8.4396,8.611,0.267
sample_29043,7.9365,8.2266,7.7626,7.9752,0.2344
sample_29044,8.0347,8.5949,8.1358,8.2551,0.2986
sample_29045,8.9729,9.3452,8.9584,9.0922,0.2192
sample_29046,7.9572,8.406,7.9418,8.1017,0.2637
sample_29047,8.688,9.1681,8.8096,8.8886,0.2496
sample_29048,8.4556,8.7154,8.3673,8.5128,0.181
sample_29049,8.0971,8.541,8.2179,8.2853,0.2295
sample_29050,8.8019,9.09,8.8019,8.8979,0.1663
sample_29051,8.7154,8.8393,8.537,8.6972,0.152
sample_29052,8.7178,9.3088,8.9099,8.9788,0.3015
sample_29053,8.3739,8.7416,8.5019,8.5391,0.1867
sample_29054,9.2818,9.6979,9.4701,9.4833,0.2083
sample_29055,8.4773,8.7645,8.4125,8.5514,0.1873
sample_29056,9.3977,9.9175,9.5087,9.6079,0.2738
sample_29057,7.2823,7.5535,7.2483,7.3613,0.1672
sample_29058,9.1737,9.788,9.2467,9.4028,0.3356
sample_29059,9.0878,9.3833,9.1372,9.2028,0.1583
sample_29060,8.0222,8.413,7.9906,8.1419,0.2353
sample_29061,8.976,9.5564,9.1539,9.2288,0.2974
sample_29062,8.7603,8.9254,8.5721,8.7526,0.1768
sample_29063,8.1069,8.4661,8.0687,8.2139,0.2192
sample_29064,8.8435,9.4344,8.941,9.073,0.3168
sample_29065,8.5052,9.0625,8.7156,8.7611,0.2814
sample_29066,8.5895,9.2473,8.6752,8.8373,0.3576
sample_29067,8.6135,9.0604,8.6436,8.7725,0.2498
sample_29068,9.0859,9.4512,9.0918,9.2096,0.2092
sample_29069,7.6622,8.0646,7.6971,7.808,0.2229
sample_29070,8.3148,8.5183,8.2336,8.3556,0.1467
sample_29071,7.7364,8.4504,7.7609,7.9826,0.4054
sample_29072,8.6788,8.8546,8.569,8.7008,0.1441
sample_29073,8.531,8.9783,8.4046,8.638,0.3014
sample_29074,8.1402,8.3969,7.952,8.163,0.2233
sample_29075,8.9372,9.0126,8.73,8.8933,0.1463
sample_29076,7.5057,8.0011,7.6222,7.7096,0.259
sample_29077,8.7556,9.0834,8.6694,8.8361,0.2185
sample_29078,7.7481,8.2485,7.7248,7.9071,0.2959
sample_29079,7.8667,8.2921,7.7275,7.9621,0.2941
sample_29080,8.3546,8.8067,8.2313,8.4642,0.303
sample_29081,8.0745,8.3074,7.9935,8.1251,0.163
sample_29082,8.5132,8.8947,8.4391,8.6157,0.2445
sample_29083,9.4136,9.452,9.1637,9.3431,0.1566
sample_29084,9.2277,9.6562,9.2964,9.3934,0.2301
sample_29085,9.7265,10.1799,9.6702,9.8589,0.2795
sample_29086,8.5892,8.8577,8.6537,8.7002,0.1402
sample_29087,8.3929,8.6034,8.1633,8.3866,0.2201
sample_29088,9.4368,9.7861,9.5642,9.5957,0.1768
sample_29089,9.2359,9.7639,9.3002,9.4333,0.2881
sample_29090,8.9404,9.3313,8.8932,9.055,0.2404
sample_29091,7.9856,8.4087,8.058,8.1508,0.2263
sample_29092,8.7215,9.2229,8.7628,8.9024,0.2783
sample_29093,8.0289,8.4928,7.999,8.1736,0.2769
sample_29094,9.1458,9.564,9.277,9.3289,0.2139
sample_29095,7.8396,8.4324,7.9443,8.0721,0.3164
sample_29096,7.1396,7.9815,7.3015,7.4742,0.4468
sample_29097,8.4221,8.5947,8.4207,8.4792,0.1001
sample_29098,9.327,9.6905,9.2331,9.4169,0.2415
sample_29099,7.2761,7.9685,7.3614,7.5353,0.3775
sample_29100,8.5548,8.8842,8.544,8.661,0.1934
sample_29101,8.0665,8.5693,7.9719,8.2026,0.3211
sample_29102,8.637,8.8418,8.5905,8.6898,0.1337
sample_29103,8.5164,8.6525,8.4586,8.5425,0.0995
sample_29104,9.0787,9.1859,8.902,9.0555,0.1434
sample_29105,9.2893,9.7818,9.5029,9.5247,0.247
sample_29106,8.0352,8.336,7.9137,8.095,0.2174
sample_29107,9.063,9.7514,9.1697,9.328,0.3705
sample_29108,9.0976,9.5822,9.2322,9.304,0.2501
sample_29109,7.6187,8.0462,7.6178,7.7609,0.247
sample_29110,8.0625,8.682,8.0926,8.2791,0.3493
sample_29111,8.4853,8.7819,8.4766,8.5813,0.1738
sample_29112,7.707,7.8556,7.5653,7.7093,0.1452
sample_29113,9.0991,9.8162,9.2456,9.387,0.3789
sample_29114,8.6572,8.9999,8.6435,8.7669,0.2019
sample_29115,8.6786,9.4282,8.8858,8.9975,0.3871
sample_29116,9.2526,9.8446,9.2229,9.44,0.3507
sample_29117,8.6073,9.0386,8.5376,8.7278,0.2714
sample_29118,9.0953,9.6831,9.225,9.3344,0.3088
sample_29119,7.313,7.975,7.3881,7.5587,0.3625
sample_29120,8.3298,8.9257,8.6104,8.622,0.2981
sample_29121,9.0916,9.5707,9.3245,9.329,0.2396
sample_29122,7.846,8.3047,7.7523,7.9676,0.2956
sample_29123,8.3073,8.7524,8.5481,8.5359,0.2228
sample_29124,8.4032,8.776,8.3536,8.5109,0.2309
sample_29125,9.2359,9.6855,9.3307,9.4174,0.237
sample_29126,8.6791,9.3287,8.8224,8.9434,0.3413
sample_29127,8.4311,8.8049,8.2272,8.4877,0.293
sample_29128,7.8563,8.2146,7.81,7.9603,0.2215
sample_29129,7.5673,8.0019,7.503,7.6907,0.2714
sample_29130,8.8975,9.5046,9.0526,9.1516,0.3154
sample_29131,7.3036,7.9743,7.327,7.5349,0.3807
